airline,year,nb_bumped,total_passengers
DELTAAIRLINES,2017,679,99796155
VIRGINAMERICA,2017,165,6090029
JETBLUEAIRWAYS,2017,1475,27255038
UNITEDAIRLINES,2017,2067,70030765
HAWAIIANAIRLINES,2017,92,8422734
EXPRESSJETAIRLINES,2017,785,11738812
SKYWESTAIRLINES,2017,917,24516354
AMERICANAIRLINES,2017,4517,98017132
ALASKAAIRLINES,2017,658,18817924
SOUTHWESTAIRLINES,2017,6678,115988988
FRONTIERAIRLINES,2017,540,12059943
SPIRITAIRLINES,2017,1502,17069647
DELTAAIRLINES,2016,912,97237060
VIRGINAMERICA,2016,77,5927938
JETBLUEAIRWAYS,2016,2140,25990828
UNITEDAIRLINES,2016,2874,64438132
HAWAIIANAIRLINES,2016,30,8154838
EXPRESSJETAIRLINES,2016,2541,16119866
SKYWESTAIRLINES,2016,2177,22575383
AMERICANAIRLINES,2016,6598,99348093
ALASKAAIRLINES,2016,734,17725197
SOUTHWESTAIRLINES,2016,11907,112153048
FRONTIERAIRLINES,2016,688,10895052
SPIRITAIRLINES,2016,1418,15234924